C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2020,01,1,23,2,02,QQ,02,1,4,5,QQ,02,01,2011,01,U,UU,11,U,UU,1,000000002794832
2020,01,1,03,2,01,02,QQ,1,1,1,18,01,01,2013,01,M,23,11,2,02,1,000000002794912
2020,01,1,03,2,01,02,QQ,1,1,1,18,01,01,2013,02,M,23,13,2,02,2,000000002794912
2020,01,1,18,2,01,02,02,1,2,1,01,01,01,2013,01,M,50,11,U,UU,1,000000002794989
2020,01,1,18,2,01,02,02,1,2,1,01,99,NN,NNNN,01,F,24,99,2,NN,3,000000002794989
2020,01,1,17,2,02,21,02,1,4,1,18,01,01,2007,01,M,64,11,U,UU,1,000000002794993
2020,01,1,17,2,02,21,02,1,4,1,18,02,01,2009,01,M,46,11,U,UU,1,000000002794993
2020,01,1,17,2,02,21,02,1,4,1,18,02,01,2009,02,F,43,21,2,02,2,000000002794993
2020,01,1,07,2,01,02,02,1,4,1,01,01,01,2007,01,M,25,11,1,02,1,000000002795092
2020,01,1,07,2,01,02,02,1,4,1,01,99,NN,NNNN,01,F,54,99,2,NN,3,000000002795092
2020,01,1,07,2,01,02,02,1,4,1,01,99,NN,NNNN,02,M,62,99,2,NN,3,000000002795092
2020,01,1,10,2,01,02,02,2,4,1,01,01,01,2003,01,M,20,11,2,02,1,000000002795181
2020,01,1,10,2,01,02,02,2,4,1,01,99,NN,NNNN,01,F,15,99,2,NN,3,000000002795181
2020,01,1,10,2,01,02,02,2,4,1,01,99,NN,NNNN,02,M,15,99,2,NN,3,000000002795181
2020,01,1,15,2,02,22,UU,1,2,1,UU,01,01,2018,01,M,44,11,2,02,1,000000002795192
2020,01,1,15,2,02,22,UU,1,2,1,UU,02,01,2011,01,M,48,11,1,02,1,000000002795192
2020,01,1,15,2,02,22,UU,1,2,1,UU,02,01,2011,02,F,06,21,1,02,2,000000002795192
2020,01,1,12,2,02,33,02,4,2,1,01,01,01,2010,01,M,54,11,2,02,1,000000002795396
2020,01,1,12,2,02,33,02,4,2,1,01,02,01,2012,01,M,85,11,1,02,1,000000002795396
2020,01,1,18,2,02,35,02,2,3,1,03,01,01,2016,01,M,39,11,1,02,1,000000002795397
2020,01,1,18,2,02,35,02,2,3,1,03,01,01,2016,02,F,UU,13,2,02,2,000000002795397
2020,01,1,18,2,02,35,02,2,3,1,03,01,01,2016,03,F,67,23,2,02,2,000000002795397
2020,01,1,18,2,02,35,02,2,3,1,03,02,01,2018,01,M,68,11,1,02,1,000000002795397
